title,published,link
Nike Fluff grinds old sneakers into new acoustic panels - Fast Company,"Thu, 24 Mar 2022 10:00:24 GMT",https://www.fastcompany.com/90734352/nike-shoes-didnt-just-inspire-these-acoustic-panels-they-are-the-panels
"Erling Haaland leaves Nike, signs deal with Adidas - AS USA","Thu, 31 Mar 2022 18:52:27 GMT",https://en.as.com/en/2022/03/31/soccer/1648751167_275009.html
You can still bag Ryan Reynolds' rare Nike x Off-White Blazers - British GQ,"Tue, 29 Mar 2022 13:00:36 GMT",https://www.gq-magazine.co.uk/fashion/article/ryan-reynolds-nike-trainers
"Nike Grows LA Footprint in Building With Ocean Views, Soccer Field - CoStar Group","Thu, 31 Mar 2022 21:27:45 GMT",https://www.costar.com/article/70053559/nike-grows-la-footprint-in-building-with-ocean-views-soccer-field
"Take an Official Look at the Nike Air Max Penny 1 ""Home"" Re-Release - HYPEBEAST","Tue, 29 Mar 2022 03:46:19 GMT",https://hypebeast.com/2022/3/nike-air-max-penny-1-home-re-release-official-look-release-info-dv0684-100
How to Work Out With the Nike Run Club App on Apple Watch - MUO - MakeUseOf,"Thu, 31 Mar 2022 13:00:00 GMT",https://www.makeuseof.com/nike-run-club-app-apple-watch/
Where are my Nikes? More customers complain about LaserShip - WSOC Charlotte,"Wed, 30 Mar 2022 22:00:00 GMT",https://www.wsoctv.com/news/local/where-are-my-nikes-more-customers-complain-about-lasership/VNNV4I3KG5HSTO5DDO6NNDNB6A/
The Story Behind Nike's Amazing 3-D Air Max Billboard in Japan - Muse by Clio,"Thu, 24 Mar 2022 07:00:00 GMT",https://musebycl.io/sports/story-behind-nikes-amazing-3-d-air-max-billboard-japan
Nike HR Practices Coming to Light As Part of Lawsuit Alleging Gender Discrimination - Business Insider,"Thu, 31 Mar 2022 11:19:16 GMT",https://www.businessinsider.com/nike-gender-discrimination-suit-documents-show-hr-and-hiring-practices-2022-3
Charles Barkley Played Against Godzilla In A Hilarious Nike Commercial: “The Lakers Are Looking For A Big Man.” - Yardbarker,"Fri, 01 Apr 2022 10:41:17 GMT",https://www.yardbarker.com/nba/articles/charles_barkley_played_against_godzilla_in_a_hilarious_nike_commercial_the_lakers_are_looking_for_a_big_man/s1_16751_37361264
"Nike Inc. Cl B stock falls Thursday, underperforms market - MarketWatch","Thu, 31 Mar 2022 21:09:00 GMT",https://www.marketwatch.com/story/nike-inc-cl-b-stock-falls-thursday-underperforms-market-01648760993-535c2cfc3de6
Where to get your official Kris Bryant Colorado Rockies Nike Game Jersey - PennLive,"Thu, 31 Mar 2022 15:31:00 GMT",https://www.pennlive.com/sports/2022/03/where-to-get-your-official-kris-bryant-colorado-rockies-nike-game-jersey.html
Nike heads to the wholesale exits – RetailWire - RetailWire,"Mon, 28 Mar 2022 13:18:40 GMT",https://retailwire.com/discussion/nike-heads-to-the-wholesale-exits/
The Nike Air Force 1 Low “Medium Blue” Was Made For The Final Four - Sneaker News,"Tue, 29 Mar 2022 18:19:43 GMT",https://sneakernews.com/2022/03/29/nike-air-force-1-low-white-medium-blue-dh7561-104/
Is Nike Abandoning Foot Locker As It Tests Jordan-Only Stores? - TheStreet,"Thu, 24 Mar 2022 15:57:54 GMT",https://www.thestreet.com/investing/is-nike-abandoning-foot-locker-as-it-tests-jordan-only-stores
Vintage Logos Stamp This Upcoming Nike Air Max 90 Golf - Sneaker News,"Tue, 29 Mar 2022 22:30:37 GMT",https://sneakernews.com/2022/03/29/nike-air-max-90-golf-white-grey-blue-do6492-141/
Nike's (NYSE: NKE) women's shoe business could take a hit with Lululemon's (Nasdaq: LULU) shoe announcement - Portland Business Journal - The Business Journals,"Mon, 28 Mar 2022 22:09:00 GMT",https://www.bizjournals.com/portland/news/2022/03/28/nike-lululemon-womens-shoes.html
The Nike LeBron 19 Readies For The Easter Holiday - Sneaker News,"Tue, 29 Mar 2022 20:30:55 GMT",https://sneakernews.com/2022/03/29/nike-lebron-19-gs-easter-dd0418-412/
Nike ACG Air Moc 3.5 Black Sneaker Move to Zero - HYPEBEAST,"Sun, 27 Mar 2022 20:51:17 GMT",https://hypebeast.com/2022/3/nike-acg-air-moc-3-5-black-release-info
